Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Amit;D6:92:5E:B8:64:EC;;1;No;WPA2,AES-CCM;No;540.0;0;3;0;3;0;0;3;;;Mon Jan 12 12:22:26 2026;Mon Jan 12 12:22:30 2026;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;D6:92:5E:B8:64:EE;;1;No;WPA2,AES-CCM;No;540.0;0;4;0;0;0;0;0;;;Mon Jan 12 12:22:26 2026;Mon Jan 12 12:22:30 2026;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;HOTBOX2021;94:4E:5B:6F:7E:D1;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;2;0;0;2;;;Mon Jan 12 12:22:26 2026;Mon Jan 12 12:22:30 2026;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;samiazur;84:D8:1B:B4:B7:52;;1;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:22:26 2026;Mon Jan 12 12:22:30 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Marena100;C4:EB:42:F5:32:E4;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:22:26 2026;Mon Jan 12 12:22:30 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Jvan;BC:D5:ED:7B:F8:95;;2;No;WPA3,AES-CCM,SAE;No;195.0;0;6;0;0;0;0;0;;;Mon Jan 12 12:22:26 2026;Mon Jan 12 12:22:31 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Rotenberg_Plus;CC:D8:43:98:AF:76;;2;No;WPA2,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:22:27 2026;Mon Jan 12 12:22:31 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;mark1966;E4:FA:C4:46:61:D6;;3;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:22:27 2026;Mon Jan 12 12:22:31 2026;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Yossi;00:B8:C2:3E:21:4B;;3;No;WPA2,AES-CCM;No;130.0;0;2;0;1;0;0;1;;;Mon Jan 12 12:22:27 2026;Mon Jan 12 12:22:31 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;EA:FA:C4:46:61:D6;;3;No;WPA2,AES-CCM;No;360.0;0;4;0;0;0;0;0;;;Mon Jan 12 12:22:27 2026;Mon Jan 12 12:22:31 2026;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Hadad;B0:BB:E5:A4:DA:04;;9;No;WPA2,AES-CCM;No;195.0;0;6;0;0;0;0;0;;;Mon Jan 12 12:22:28 2026;Mon Jan 12 12:22:32 2026;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;BOSS 2.4;3C:7C:3F:B5:F3:A0;;9;No;WPA2,AES-CCM;No;360.0;0;1;0;7;0;0;7;;;Mon Jan 12 12:22:28 2026;Mon Jan 12 12:22:32 2026;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;SHLP;C4:E9:0A:BF:27:B3;;5;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:22:28 2026;Mon Jan 12 12:22:33 2026;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;HOTWiFi7-46BF;62:D5:ED:37:E2:01;;11;No;WPA3,AES-CCM,SAE;No;130.0;0;3;0;0;0;0;0;;;Mon Jan 12 12:22:29 2026;Mon Jan 12 12:22:29 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;HOTWiFi7-46BF;BC:D5:ED:24:46:C0;;11;No;WPA3,AES-CCM,SAE;No;195.0;0;3;0;0;0;0;0;;;Mon Jan 12 12:22:29 2026;Mon Jan 12 12:22:29 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;SOFFER;68:AA:C4:28:5C:80;;11;No;WPA2,AES-CCM;No;260.0;0;2;0;0;0;0;0;;;Mon Jan 12 12:22:29 2026;Mon Jan 12 12:22:29 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Horder;00:F8:CC:FF:0E:80;;6;No;WPA3,AES-CCM,SAE;No;195.0;0;3;0;0;0;0;0;;;Mon Jan 12 12:22:29 2026;Mon Jan 12 12:22:29 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;8A:D8:1B:B4:5D:7E;;1;No;WPA2,AES-CCM;No;360.0;0;1;0;1;0;0;1;;;Mon Jan 12 12:22:30 2026;Mon Jan 12 12:22:30 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
