Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Hadad;B0:BB:E5:A4:DA:04;;10;No;WPA2,AES-CCM;No;195.0;0;37;0;3;0;0;3;;;Wed Dec 31 13:08:57 2025;Wed Dec 31 13:11:04 2025;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;HOTBOX2021;94:4E:5B:6F:7E:D1;;1;No;WPA2,AES-CCM;No;130.0;0;22;0;3;0;0;3;;;Wed Dec 31 13:08:57 2025;Wed Dec 31 13:11:02 2025;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;BOSS 2.4;3C:7C:3F:B5:F3:A0;;4;No;WPA2,AES-CCM;No;360.0;0;37;0;9;0;0;9;;;Wed Dec 31 13:08:58 2025;Wed Dec 31 13:11:05 2025;-45;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;SHLP5G;C4:E9:0A:BF:27:B2;;36;No;WPA2,AES-CCM;No;866.0;0;45;0;9;0;0;9;;;Wed Dec 31 13:09:01 2025;Wed Dec 31 13:11:06 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Hadad;B0:BB:E5:A4:DA:05;;36;No;WPA2,AES-CCM;No;1733.0;0;45;0;13;0;0;13;;;Wed Dec 31 13:09:01 2025;Wed Dec 31 13:11:06 2025;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;B2:BB:E5:A4:DA:07;;36;No;WPA2,AES-CCM;No;1733.0;0;45;0;13;0;0;13;;;Wed Dec 31 13:09:01 2025;Wed Dec 31 13:11:06 2025;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;62:45:B6:AC:63:B3;;-1;No;WEP;No;-1.0;0;43;0;0;0;0;0;;;Wed Dec 31 13:09:01 2025;Wed Dec 31 13:11:06 2025;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;HOTBOX2021;94:4E:5B:6F:7E:D2;;48;No;WPA2,AES-CCM;No;1733.0;0;44;0;4;0;0;4;;;Wed Dec 31 13:09:02 2025;Wed Dec 31 13:11:07 2025;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;96:4E:5B:6F:7E:D7;;48;No;WPA3,AES-CCM,SAE;No;1733.0;0;44;0;4;0;0;4;;;Wed Dec 31 13:09:02 2025;Wed Dec 31 13:11:07 2025;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;8A:70:23:01:D7:61;;48;No;WPA3,AES-CCM,SAE;No;1733.0;0;6;0;2;0;0;2;;;Wed Dec 31 13:09:02 2025;Wed Dec 31 13:10:36 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;BOSS AC;3C:7C:3F:B5:F3:A4;;60;No;WPA2,AES-CCM;No;780.0;0;45;0;6;0;0;6;;;Wed Dec 31 13:09:04 2025;Wed Dec 31 13:11:09 2025;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;BOSS AX;3C:7C:3F:B5:F3:A8;;100;No;WPA2,AES-CCM;No;1733.0;0;45;0;4;0;0;4;;;Wed Dec 31 13:09:05 2025;Wed Dec 31 13:11:10 2025;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Taliindibo;8A:70:23:01:D7:60;;48;No;WPA2,AES-CCM;No;1733.0;0;6;0;2;0;0;2;;;Wed Dec 31 13:09:33 2025;Wed Dec 31 13:10:21 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
